VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2023-12-01 03:33:51,2023-12-01 04:23:51,5,4.54,-73.77652,40.533824,3,N,-74.248799,40.650692,3,49.11,1.67,0.5,7.13,8.19,0.3,66.9
1,2023-01-26 04:37:04,2023-01-26 05:37:04,5,1.99,-74.097885,40.687928,5,N,-74.041014,40.831506,2,25.42,1.47,0.5,7.52,7.82,0.3,43.03
2,2023-04-01 16:04:50,2023-04-01 17:03:50,3,8.74,-73.971341,40.889725,4,N,-74.14942,40.871994,3,4.82,3.56,0.5,18.47,8.62,0.3,36.27
2,2023-12-28 10:03:32,2023-12-28 10:53:32,3,44.61,-74.138378,40.648837,5,N,-73.740227,40.548471,1,37.47,0.14,0.5,2.53,6.3,0.3,47.24
1,2023-01-12 02:29:08,2023-01-12 03:10:08,4,19.75,-73.998551,40.513877,4,N,-73.821666,40.818849,1,14.57,2.69,0.5,5.17,7.88,0.3,31.11
2,2023-07-19 00:17:57,2023-07-19 00:58:57,5,19.04,-73.788205,40.741884,6,N,-74.127362,40.610272,2,40.91,0.24,0.5,5.0,4.77,0.3,51.72
1,2023-07-10 16:38:05,2023-07-10 17:07:05,4,27.81,-73.852176,40.623053,6,N,-74.218151,40.565084,3,75.58,4.93,0.5,1.79,5.31,0.3,88.41
2,2023-01-03 00:56:24,2023-01-03 01:50:24,6,28.89,-74.149519,40.537333,5,N,-73.812857,40.598467,4,87.6,0.13,0.5,11.81,1.43,0.3,101.77
2,2023-07-15 00:12:53,2023-07-15 00:38:53,5,13.54,-74.093281,40.679504,4,N,-74.052177,40.652166,4,4.99,4.98,0.5,2.94,1.96,0.3,15.67
1,2023-12-24 18:34:42,2023-12-24 19:28:42,3,47.03,-74.005353,40.599333,3,Y,-74.265821,40.862258,3,60.82,1.85,0.5,8.88,4.0,0.3,76.35
2,2023-09-08 12:57:01,2023-09-08 13:49:01,2,24.25,-74.250959,40.519482,6,N,-74.031288,40.729429,3,11.14,2.78,0.5,16.7,1.55,0.3,32.97
2,2023-09-01 23:53:50,2023-09-02 00:25:50,2,43.54,-73.863176,40.632235,1,N,-73.746211,40.650562,3,88.6,0.49,0.5,7.48,1.16,0.3,98.53
1,2023-06-30 18:53:41,2023-06-30 19:23:41,6,29.01,-74.238312,40.845103,1,Y,-74.266667,40.677224,1,97.19,1.04,0.5,0.28,8.49,0.3,107.8
1,2023-07-19 06:17:47,2023-07-19 06:52:47,1,20.32,-73.805187,40.639427,6,N,-74.285177,40.554768,2,70.87,4.86,0.5,12.7,2.46,0.3,91.69
2,2023-12-16 23:51:57,2023-12-17 00:47:57,6,1.26,-74.256776,40.589862,6,N,-74.031121,40.664517,2,29.77,4.76,0.5,18.21,0.73,0.3,54.27
1,2023-05-26 01:13:27,2023-05-26 01:24:27,3,33.14,-74.000317,40.716956,4,N,-73.819181,40.529793,3,94.41,1.29,0.5,1.21,6.94,0.3,104.65
1,2023-09-08 11:47:08,2023-09-08 11:57:08,2,24.67,-74.021752,40.718233,5,Y,-74.162336,40.838696,1,70.53,1.84,0.5,7.07,8.38,0.3,88.62
1,2023-11-11 07:27:22,2023-11-11 08:02:22,5,12.47,-73.745341,40.841098,3,N,-74.216351,40.852041,2,52.34,2.56,0.5,13.68,7.91,0.3,77.29
2,2023-01-02 21:08:46,2023-01-02 21:36:46,1,28.31,-74.026833,40.528205,2,N,-73.711582,40.593411,4,13.98,2.23,0.5,18.97,6.65,0.3,42.63
2,2023-08-21 15:59:07,2023-08-21 16:09:07,3,13.68,-73.921731,40.606966,3,Y,-74.294282,40.549823,1,86.41,4.84,0.5,4.26,7.45,0.3,103.76
2,2023-04-19 00:15:41,2023-04-19 00:23:41,4,37.61,-73.730747,40.601895,1,N,-74.134846,40.892475,3,78.42,3.73,0.5,5.16,6.49,0.3,94.6
